9|7|10|0|6 , file disclosure vulnerability information exposure
0|6|7 , denial service crash long string request
9|7|10|0|6 , information disclosure
3|9|7|6|0|1 , arc man- bypass intend access restriction spoof hsxx response
9|7|10|0|6 , access log file obtain sensitive server information predictable request file
3|9|7|6|0|1 , obtain sensitive information .tgz file
0|6|7 , local privilege escalation system arbitrary file deletion dll hijack
0|6|7 , denial service continual focus grab invalid launch?action = join&confno= request
5 , denial service memory allocation large value trigger large allocation custom ` verifier ` limit maximum value
0|6|7 , execute arbitrary code template injection
0|6|7 , denial service metro subsystem crash fragment gre packet
0|6|7 , bypass security restriction improper input validation
0|6|7 , core dump memory
0|6|7 , microsoft server block message smb denial service send specially craft request server denial service
0|6|7 , properly check compression zlib compress datum denial service large compression factor
4|0|6|7 , use hard code credential cwe-798 execute unauthorized command root upload deploy malicious web application archive file
3|9|7|6|0|1 , bypass authentication change trust relationship certificate trust list ctl file
0|6|7 , improper input validation large memory usage denial service
0|6|7 , denial service bsod craft .exe file
9|7|10|0|6 , information disclosure libstagefright
0|6|7 , dll search order privilege escalation
9|7|10|0|6 , obtain sensitive information direct request .php file error message test visual_test.php
5 , memory leak denial service memory consumption orig_value variable
0|6|7 , directory traversal attack lack proper input validation path send craft request affect device write arbitrary file
0|6|7 , dll search path execute code system
0|6|7 , properly clear client datum close authentication denial service infinite loop cpu disk consumption craft requests
0|6|7 , improper validation input context parameter
0|6|7 , execute arbitrary command command argument internal system script
3|9|7|6|0|1 , bypass authentication craft tacacs+ reply
9|7|10|0|6 , obtain sensitive information unspecified web gui api
9|7|10|0|6 , read log file use previously delete namespace
5 , check message length receive packet header system denial service uncontrolled memory allocation
9|7|10|0|6 , enumerate valid meeting id
3|9|7|6|0|1 , internal installation path disclosure lack authentication /html
4|0|6|7 , hard code smb credential remotely execute arbitrary code
0|6|7 , stack base buffer overflow denial service application crash unspecified impact long string packet
0|6|7 , file create file chmod
0|6|7 , denial service daemon hang craft application
3|9|7|6|0|1 , properly determine existence authenticate session discover username password http request
9|7|10|0|6 , obtain configuration information step 0 phpinfo action phpinfo
0|6|7 , denial service craft utf-8 string bson request
4|0|6|7 , integrated user firewall userfw simple integration user profile completely compromise srx series device access user credential gain administrative control user authentication
0|6|7 , execute arbitrary code craft true type font true type font
0|6|7 , spoof ssl server default value true
3|9|1|7|10|0|6 , information disclosure view snmpv3 user password html source code
0|9 , escalation privilege
0|6|7 , clickjacking attack delete arbitrary user bypass csrf protection account delete.php
9|7|10|0|6 , retrieve information address space layout randomization aslr bypass
0|6|7 , denial service daemon crash craft lan traffic
9|7|10|0|6 , obtain sensitive information direct request html log service system info.html uri
9|7|10|0|6 , information disclosure local malicious application access datum outside compromise privileged process
0|6|7 , properly validate permission object memory execute arbitrary code craft xaml browser application xbap craft .net framework application double construction vulnerability
9|7|10|0|6 , local privilege escalation improper permission support script elevate privilege root
9|7|10|0|6 , discover user present database password reset feature
3|9|7|6|0|1 , http verb tampering request method
4|0|6|7 , hard code account
4|0|6|7 , use hard code credential undocumented hard code credential gain remote access
0|6|7 , validation value bypass intend access restriction craft requests
0|6|7 , address argument validation
0|6|7 , improper input validation vdev_map buffer overwrite bound memory read
0|6|7 , user interface injection sensitive information disclosure
9|7|10|0|6 , improper directory permission escalation privilege
0 , redos regular expression denial service
0|6|7 , read_file follow symbolic link open fifo expose private datum local user
0|6|7 , validate certain length value denial service memory corruption application crash craft nfs packet
0|6|7 , downgrade dnssec secure domain domain hijack attack insecure dns protocol
3|9|7|6|0|1 , bypass authentication
9|3|4|7|0|2|6 , elevate privilege administrative password sniff unencrypted udp traffic
5 , memory leak
9|7|10|0|6 , time channel attack
0|6|7 , remote code execution setup.php change_config.php
9|7|10|0|6 , setting insecure permission retrieve video clip image
3|9|4|7|0|6 , discover wi fi credential
0|6|7 , obtain sensitive information kernel memory craft app
9|7|10|0|6 , extract sensitive information local drive
9|3|4|7|10|0|6 , access manager app allow sensitive datum exposure
9|7|10|0|6 , bypass intend memory read restriction craft app
5 , attempt excessive memory allocation
0|6|7 , resource exhaustion improper input validation remote denial service
0|6|7 , properly sort route overwrite exist route redirect network traffic
9|7|10|0|6 , read arbitrary file
2 , control remote function agent miss authentication check
9|7|10|0|6 , obtain information specially craft application
3|9|4|7|0|6 , cleartext password
9|7|10|0|6 , obtain information compromise user system object memory
9|7|10|0|6 , information disclosure access datum outside permission level access sensitive datum
9|7|10|0|6 , view detail user
5 , vsh process fail delete termination build vsh process deplete system memory unexpected system behavior crash repeatedly perform remote management connection device unexpected manner vsh process fail delete system wide denial service dos
9|7|10|0|6 , properly check node permission content link read arbitrary node title generate link
0|6|7 , locator id separation protocol lisp properly validate parameter itr control message denial service cef outage packet drop malforme message
