7|9|6|0|10 , local privilege escalation
7|6|0 , read arbitrary file denial service resource consumption
7|9|6|0|10 , spoof calendar server obtain sensitive information
7|6|9|0 , denial service libvirtd crash
3|7|6|9|1|0 , client control bypass user authentication check
7|9|6|0|10 , permission issue read sensitive information
7|6|0 , denial service
7|9|6|0|10 , disclose information camera
3|7|6|9|1|0 , java open single sign- forge message bypass authentication signature exclusion attack
3|7|6|9|1|0 , setting change
3|10 , manipulate tampering recovery plaintext
7|6|0 , behave unexpected way import script generation malicious link read modify content web application
7|6|4|0 ,
5 , memory leak
7|6|0 , bypass intend access restriction
3|7|6|9|1|0 , receive measurement datum debug information send command car attack
10 , escalation privilege local access
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , access datum outside permission level access datum permission
7|6|0 , incorrectly load windows system dll binary planting dll preloading attack denial service information disclosure
7|9|6|0|10 , key value log store
7|6|0 , delete file affected system rbacs directory traversal submit path desire file location delete file system
7|6|0 , impersonation attack gain privilege
7|6|9|0 , denial service assertion failure reboot
7|9|6|0|10 , bypass intend iosurface restriction obtain screen framebuffer access
7|6|9|0 , bypass intend restriction javascript api execution
7|9|6|0|10 , gutenberg read password protected private post content
7|6|0 , gain privilege
7|6|9|0 , modify anope flag behavior
7|6|4|0 , decrypt sensitive datum lend bad password send
7|9|6|0|10 , obtain sensitive information process memory decode failure
7|6|0 , request ion cache maintenance cache maintenance
7|6|0 , cookie spoofing manipulate ~/.dbus- read write unintended location subsequent client connection allow authentication bypass
2 , customer datum file
7|6|0 , rename arbitrary file rename critical product file
7|6|0 ,
9|0 , hijack valid user session
7|6|0 , denial service bounds access unspecified impact
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|6|9|0 , read write file execute arbitrary jasic code
7|6|0 , search path gain privilege
7|6|0 , tmm restart
3|7|6|9|1|0 , authentication hijacking race-
3|7|6|9|1|0 , logic issue
7|9|6|0|10 , information disclosure
7|6|0 , input validation leak sensitive user information
3|7|9|6|4|0 , compromise affected bluecats network implementation gain physical control android device compromise
7|9|6|0|10 , local file inclusion retrieve file system
7|9|6|0|10 , track user
7|6|0 , execute arbitrary code
7|6|0 , denial service application crash
7|9|6|0|10 , obtain sensitive information
7|6|0 , execute arbitrary code remote code execution
7|9|6|0|10 , determine password microsoft information disclosure
7|6|0 , spoof signature small public exponent berserk attack
7|9|6|0|10 , obtain sensitive information disclose sensitive information http response
3|7|6|9|1|0 , bypass bios authentication execute action access restricted set user level bios command
7|9|6|0|10 , determine sensitive device information
3|7|9|6|4|0 , credential disclosure
7|6|0 , execute arbitrary code
7|6|0 , xss
7|9|6|0|10 , obtain sensitive information
7|6|0 , elevation privilege
5 , overhead improve performance dynamically allocate variable length array vla influence array length perform excessive allocation stack denial service
7|6|0 , activate boot obtain sensitive information
7|6|0 , parse radius message denial service traffic management
2 , exposure
7|6|0 , open redirect redirect user arbitrary web site phishing attack
3|7|6|9|1|0 , bypass intend access restriction
9|0 , session fixation hijack admin session
7|6|0 , execute arbitrary command
7|9|6|0|10 , obtain potentially sensitive information process memory
7|9|6|0|10 , information disclosure access datum outside permission level compromise privileged process
7|6|0 , improper input validation gain root privilege
7|6|0 , user input execute remote code server
7|6|0 , dll hijacking execute arbitrary code
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , hijack bdcore.dll privilege escalation
7|6|0 , argument injection attack
7|6|0 , read write delete datum campaign database
7|9|6|0|10 , password recovery file access
7|6|0 , enable denial service adjacent network access
9|0 , session fixation
7|6|0 , search path execute arbitrary code
3|7|6|9|1|0 , bypass e mail verification
7|6|0 , bypass origin policy
7|6|0 , execution command
3|10 , find password hash capture traffic
7|9|6|0|10 , disclose sensitive information read past end allocate object execute arbitrary code
3|7|6|9|1|0 , bypass authentication create arbitrary account policy
7|9|6|0|10 , obtain sensitive information host os memory hyper v information disclosure vulnerability
3|1 , access sensitive information target system view sensitive information
10 , permission access control control camera restart camera restore factory setting
7|6|0 , improper neutralization special element injection read arbitrary file
7|9|6|0|10 , control specific log file
9|8 , code execution local privilege escalation
7|6|0 , read modify datum keepass database
7|9|6|0|10 , obtain sensitive information
7|6|0 , trigger hash collision denial service cpu consumption
10 , mirror repository
7|9|6|0|10 , obtain sensitive user credential
7|9|6|0|10 , change password administrative user
7|6|0 , denial service
7|6|0 , denial service denial service
7|6|4|0 , hard code credential
7|9|6|0|10 , obtain potentially sensitive software version information
7|6|0 , tag qsee kernel memory map el0 corrupt qsee kernel compromise tee
10 , permission bypass local escalation privilege
7|6|0 , denial service device reload
7|9|6|0|10 , bound information disclosure
7|6|0 , solicit app trust decision bypass intend launch restriction
3|7|9|6|4|0 , extract authentication token service
7|9|6|0|10 , trigger token
7|9|6|0|10 , brute force account credential
7|6|0 , elevation privilege execute arbitrary code local permanent device compromise
7|6|9|0 , system management mode smm denial service attack bios variable setting
7|9|6|0|10 , obtain sensitive information kernel memory bypass kaslr protection mechanism
7|9|6|0|10 , information disclosure vulnerability
7|6|4|0 , denial service dos
7|6|0 , man middle attack
7|6|0 , guest os denial service
7|9|6|0|10 , information disclosure access datum outside permission level access sensitive datum
7|6|9|0 , disclose sensitive information disclose store credential compromise
7|9|6|0|10 ,
7|9|6|0|10 , read file system
7|9|6|0|10 , obtain sensitive information code access
7|6|0 , denial service bsod unspecified impact
3|7|6|9|1|0 , improper authentication issue authenticate user
7|6|0 , denial service device reload
7|6|0 , crash pr100088 modbus gateway version
7|9|6|0|10 , information disclosure
7|9|6|0|10 , view private project filter insecure direct object reference idor
3|7|9|6|4|0 , expose user credential remote server obtain expose password credential gain access
7|9|6|0|10 , enumerate database user
5 , regular expression denial service redos
7|6|0 , inject arbitrary text user browser
7|9|6|0|10 , gain privilege
9|0 , session fixation
7|6|0 , elevation privilege
3|10 , strip ssl tls protection
3|7|6|9|1|0 , broken authentication
5 , memory allocation denial service allocation failure application crash
3|7|6|9|1|0 , view modify datum view potentially modify datum read modify datum
3|7|9|6|4|0 , read cleartext smtp password
7|6|0 , denial service application crash unspecified impact
7|6|9|0 , spoof smb2 smb3
7|9|6|0|10 , bounds read information disclosure disclose sensitive information vulnerable installation execute low privileged code
7|6|0 , dns packet parsing denial service crash
2 , actively intercept user device traffic video stream
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service process crash
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|9|6|0|10 , local privilege escalation
7|6|0 , denial service prevent subsequent authentication
3|7|6|9|1|0 , perform arbitrary operation
3|7|9|6|4|0 , cleartext credential memory
7|6|0 , denial service application crash unspecified impact
7|6|0 , frame validation bypass firmware event frame discard unprocessed frame validation firmware event frame execute arbitrary code vulnerable system denial of- service condition
10 , obtain password hash unspecified sensitive information
3|7|6|9|1|0 , denial service
3|7|9|6|4|0 , send private credential host store retrieve password credential send blank pattern return unspecified store password leak password clone url visible
7|9|6|0|10 , information disclosure
7|9|6|0|10 , obtain sensitive information kernel memory unspecified impact
3|7|6|9|1|0 , bypass authentication add administrative account write execute arbitrary file
7|6|0 , send malicious email entire organization
7|9|6|0|10 , information exposure obtain private key
3|7|6|9|1|0 , bypass intend j2ee security constraint obtain sensitive information
7|6|0 , denial service segmentation fault
7|9|6|0|10 , obtain sensitive information process stack memory
7|6|9|0 , read modify
7|6|9|0 , gain root privilege
7|9|6|0|10 , obtain sensitive information e.g.
7|6|0 , injection issue inject packet disrupt availability device
7|6|0 , bypass intend restriction filesystem access
5 , send multiple ccs message denial service
7|6|0 , unintended socket
3|7|6|9|1|0 , scan github organization repository create correspond pipeline jenkins reconfigure github access token
7|9|6|0|10 , unauthorized disclosure information
7|9|6|0|10 , obtain potentially sensitive information environment variable jar version
3|7|9|6|4|0 , create run configuration save cleartext unencrypted record server credential
3|7|9|6|4|0 , sniff key ble
7|6|0 , domain spoofing
7|6|0 , bypass security restriction create unprivileged user account
7|6|0 , remote device temperature control
3|7|9|6|4|0 ,
7|6|0 , symbolic link privilege escalation escalate privilege execute low privileged code
7|6|0 , gain privilege
7|6|0 , denial service dos crash cleanup bug
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain sensitive information
7|6|0 , improper input validation denial service dos
7|9|6|0|10 , obtain sensitive information
7|6|0 , escalate privilege root execute arbitrary code
7|6|0 , improper input validation read address
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , read arbitrary file
7|6|0 , upload arbitrary file
